date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:07	1606/1606	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:W/%222537b5619c949b54f36e291948e21787%22	https://catalyst.tailwindui.com/robots.txt		(from )
22:51:08	228423/228423	---MCZ	200	added ('OK')	text/html	etag:W/%22100358c4e36507c59c4ede2eae5eed96%22	https://catalyst.tailwindui.com/	catalyst.tailwindui.com/index.html	(from )
22:51:09	114117/114117	---MCZ	200	added ('OK')	text/css	etag:W/%22e684ff977889070ca0d3cc392a9af61f%22	https://catalyst.tailwindui.com/_next/static/css/a0ef8b0be38d4a67.css	catalyst.tailwindui.com/_next/static/css/a0ef8b0be38d4a67.css	(from https://catalyst.tailwindui.com/)
22:51:10	3596/3596	---MCZ	200	added ('OK')	application/javascript	etag:W/%2283971eb737bd3aa4bbce74bb55a880dd%22	https://catalyst.tailwindui.com/_next/static/chunks/webpack-a7591c45012f8d69.js	catalyst.tailwindui.com/_next/static/chunks/webpack-a7591c45012f8d69.js	(from https://catalyst.tailwindui.com/)
22:51:11	171902/171902	---MCZ	200	added ('OK')	application/javascript	etag:W/%22341bc12f15b80870bf037598311f6815%22	https://catalyst.tailwindui.com/_next/static/chunks/fd9d1056-b920254819e26e05.js	catalyst.tailwindui.com/_next/static/chunks/fd9d1056-b920254819e26e05.js	(from https://catalyst.tailwindui.com/)
22:51:12	104454/104454	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bcecb8bd86f3ebd1d1da08fa1246531f%22	https://catalyst.tailwindui.com/_next/static/chunks/938-411ba23ba13ae0d5.js	catalyst.tailwindui.com/_next/static/chunks/938-411ba23ba13ae0d5.js	(from https://catalyst.tailwindui.com/)
22:51:12	461/461	---M--	200	added ('OK')	application/javascript	etag:%228e113f300fdd91cb0e4901f4fd91dc36%22	https://catalyst.tailwindui.com/_next/static/chunks/main-app-ead4ecf24f82c37a.js	catalyst.tailwindui.com/_next/static/chunks/main-app-ead4ecf24f82c37a.js	(from https://catalyst.tailwindui.com/)
22:51:14	20508/20508	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fc78c54a6c959557ca4298a2a39d3553%22	https://catalyst.tailwindui.com/_next/static/chunks/250-964b677d4a035ea3.js	catalyst.tailwindui.com/_next/static/chunks/250-964b677d4a035ea3.js	(from https://catalyst.tailwindui.com/)
22:51:15	19387/19387	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e30704e1dd8bd3180087a92af46a84ae%22	https://catalyst.tailwindui.com/_next/static/chunks/284-1cf7364bd69fd009.js	catalyst.tailwindui.com/_next/static/chunks/284-1cf7364bd69fd009.js	(from https://catalyst.tailwindui.com/)
22:51:16	38272/38272	---MCZ	200	added ('OK')	application/javascript	etag:W/%223d3418b42e8bfa609d1206d05819053d%22	https://catalyst.tailwindui.com/_next/static/chunks/93-99b8204a115d715d.js	catalyst.tailwindui.com/_next/static/chunks/93-99b8204a115d715d.js	(from https://catalyst.tailwindui.com/)
